ENST00000291386.SSU72	2	D
ENST00000291386.SSU72	3	A
ENST00000493964.CFAP74	30	D
ENST00000493964.CFAP74	31	A
ENST00000419816.PLCH2	3	D
ENST00000419816.PLCH2	4	A
ENST00000378486.PLCH2	3	D
ENST00000378486.PLCH2	4	A
ENST00000449969.PLCH2	3	D
ENST00000449969.PLCH2	4	A
ENST00000262450.CHD5	36	D
ENST00000262450.CHD5	37	A
ENST00000544484.CHD4	34	D
ENST00000544484.CHD4	35	A
ENST00000544040.CHD4	35	D
ENST00000544040.CHD4	36	A
ENST00000357008.CHD4	35	D
ENST00000357008.CHD4	36	A
ENST00000380358.CHD3	35	D
ENST00000380358.CHD3	36	A
ENST00000330494.CHD3	35	D
ENST00000330494.CHD3	36	A
ENST00000358181.CHD3	34	D
ENST00000358181.CHD3	35	A
ENST00000346436.CLCN6	5	D
ENST00000346436.CLCN6	6	A
ENST00000376497.CLCN6	5	D
ENST00000376497.CLCN6	6	A
ENST00000376496.CLCN6	5	D
ENST00000376496.CLCN6	6	A
ENST00000312413.CLCN6	4	D
ENST00000312413.CLCN6	5	A
ENST00000375599.CPLANE2	4	D
ENST00000375599.CPLANE2	5	A
ENST00000375153.SLC66A1	6	D
ENST00000375153.SLC66A1	7	A
ENST00000375155.SLC66A1	6	D
ENST00000375155.SLC66A1	7	A
ENST00000400548.SLC66A1	5	D
ENST00000400548.SLC66A1	6	A
ENST00000450454.TCEA3	7	D
ENST00000450454.TCEA3	8	A
ENST00000461794.TCEA3	3	D
ENST00000461794.TCEA3	4	A
ENST00000374601.TCEA3	4	D
ENST00000374601.TCEA3	5	A
ENST00000450454.TCEA3	4	D
ENST00000450454.TCEA3	5	A
ENST00000361729.E2F2	4	D
ENST00000361729.E2F2	5	A
ENST00000535432.E2F3	4	D
ENST00000535432.E2F3	5	A
ENST00000346618.E2F3	4	D
ENST00000346618.E2F3	5	A
ENST00000374453.SRSF10	2	D
ENST00000374453.SRSF10	3	A
ENST00000484146.SRSF10	2	D
ENST00000484146.SRSF10	3	A
ENST00000344989.SRSF10	2	D
ENST00000344989.SRSF10	3	A
ENST00000492112.SRSF10	2	D
ENST00000492112.SRSF10	3	A
ENST00000374452.SRSF10	2	D
ENST00000374452.SRSF10	3	A
ENST00000473858.SRSF10	1	D
ENST00000473858.SRSF10	2	A
ENST00000343255.SRSF10	2	D
ENST00000343255.SRSF10	3	A
ENST00000453840.SRSF10	2	D
ENST00000453840.SRSF10	3	A
ENST00000452027.SRSF12	2	D
ENST00000452027.SRSF12	3	A
ENST00000517387.SRSF12	1	D
ENST00000517387.SRSF12	2	A
ENST00000475068.SRSF12	1	D
ENST00000475068.SRSF12	2	A
ENST00000374142.ZDHHC18	5	D
ENST00000374142.ZDHHC18	6	A
ENST00000374141.ZDHHC18	4	D
ENST00000374141.ZDHHC18	5	A
ENST00000374135.GPN2	4	D
ENST00000374135.GPN2	5	A
ENST00000374133.GPN2	3	D
ENST00000374133.GPN2	4	A
ENST00000373765.MATN1	7	D
ENST00000373765.MATN1	8	A
ENST00000373602.CCDC28B	4	D
ENST00000373602.CCDC28B	5	A
ENST00000373586.EIF3I	3	D
ENST00000373586.EIF3I	4	A
ENST00000464085.C1orf109	2	D
ENST00000464085.C1orf109	3	A
ENST00000358011.C1orf109	2	D
ENST00000358011.C1orf109	3	A
ENST00000373026.INPP5B	20	D
ENST00000373026.INPP5B	21	A
ENST00000373023.INPP5B	20	D
ENST00000373023.INPP5B	21	A
ENST00000373027.INPP5B	15	D
ENST00000373027.INPP5B	16	A
ENST00000373024.INPP5B	20	D
ENST00000373024.INPP5B	21	A
ENST00000458109.INPP5B	18	D
ENST00000458109.INPP5B	19	A
ENST00000373026.INPP5B	20	D
ENST00000373026.INPP5B	21	A
ENST00000373023.INPP5B	20	D
ENST00000373023.INPP5B	21	A
ENST00000373027.INPP5B	15	D
ENST00000373027.INPP5B	16	A
ENST00000373024.INPP5B	20	D
ENST00000373024.INPP5B	21	A
ENST00000458109.INPP5B	18	D
ENST00000458109.INPP5B	19	A
ENST00000373026.INPP5B	1	D
ENST00000373026.INPP5B	2	A
ENST00000458109.INPP5B	1	D
ENST00000458109.INPP5B	2	A
ENST00000373023.INPP5B	1	D
ENST00000373023.INPP5B	2	A
ENST00000373021.INPP5B	1	D
ENST00000373021.INPP5B	2	A
ENST00000373024.INPP5B	1	D
ENST00000373024.INPP5B	2	A
ENST00000397572.MYCBP	3	D
ENST00000397572.MYCBP	4	A
ENST00000621281.AL139260.3	3	D
ENST00000621281.AL139260.3	4	A
ENST00000462797.TRIT1	2	D
